Name,Type,Default/Value,File:Line,Scope,Category,Ref count,Mutability,Needed? (Y/N),Efficiency note,Meets-change-policy? (Y/N),Recommendation
FW_VERSION,#define,"1.4.0",skyfeeder/config.h:3,device,OTA,4,Immutable,Y,"Compile-time constant; keep in flash",Y,"Sync with release tagging to avoid mismatches"
WIFI_DEFAULT_SSID,#define,"wififordays",skyfeeder/config.h:6,device,security,1,Immutable,Y,"Hard-coded credential leaks if shipped",N,"Move to provisioning storage before production"
WIFI_DEFAULT_PASS,#define,"wififordayspassword1236",skyfeeder/config.h:7,device,security,1,Immutable,Y,"Long string in firmware; same risk as SSID",N,"Require user-supplied password on first boot"
MQTT_DEFAULT_HOST,#define,"10.0.0.4",skyfeeder/config.h:8,device,customer,1,Immutable,Y,"Assumes LAN IP; recompile per site",N,"Load from provisioning JSON or NVS"
LED_IDLE_BRIGHTNESS,#define,96,skyfeeder/config.h:16,device,safe,2,Immutable,Y,"Brightness constant OK but repeated in logic",Y,"Document acceptable range to avoid overcurrent"
VISIT_ENTER_DELTA_G,#define,12.0f,skyfeeder/config.h:39,device,safe,3,Immutable,Y,"Float comparisons on MCU; fine",Y,"Expose via config channel for tuning"
PIR_EVENT_SNAPSHOT_COUNT,#define,10,skyfeeder/config.h:46,device,safe,1,Immutable,Y,"Fixed burst count; high memory cost",Y,"Allow override from OTA JSON when needed"
MINI_READY_TIMEOUT_MS,#define,12000,skyfeeder/config.h:49,device,safe,2,Immutable,Y,"Blocking waits; consider async checks",Y,"Track actual ready latency to revisit"
JWT_SECRET,env,"dev-only",ops/local/presign-api/src/index.js:26,server,security,2,Mutable,Y,"Default secret; zero entropy",N,"Fail startup if value still default"
S3_BUCKET_INDICES,env,"photos",ops/local/presign-api/src/index.js:21,server,safe,3,Mutable,Y,"Shared with photo bucket; risk of mixing",Y,"Document requirement for dedicated bucket"
HEARTBEAT_INTERVAL_MS,env,"30000",ops/local/ws-relay/src/index.js:14,server,safe,2,Mutable,Y,"Heartbeat drives ping loop; longer interval saves CPU",Y,"Allow override via config UI"
OTA_MAX_BOOT_FAILS,env,"3",ops/local/ota-server/src/index.js:11,server,OTA,1,Mutable,Y,"Map stored in RAM; resets on restart",Y,"Persist counts to disk for restarts"
DEFAULT_WS_URL,const,"ws://10.0.0.4:9001",app/skyfeeder-app/src/config.ts:9,UI,customer,1,Immutable,Y,"Hard-coded LAN; breaks off-LAN builds",N,"Read from Expo config or discovery payload"
brokerConfig.username,const,"dev1",app/skyfeeder-app/src/config.ts:11,UI,security,1,Immutable,Y,"Default credential; reuse invites compromise",N,"Inject via Expo env for each deployment"
